references,quantity_positions,quantity_required,unit,mpn,manufacturer,description,dnp,selection_status,lifecycle,source_url,constraints,required_before,pcb_footprint_change_allowed,fixed_interface,closure_evidence,supplier_stock_verified,stock_status,state
EXT_MECH_CATALOG_3,46,46,each,HDTW-M3-A4-BL,Accu,"M3 DIN7349 heavy flat washer, stainlessA4 black finish;15topBC+31bottomspringseats",false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.accu.co.uk/metric-flat-washers/173323-HDTW-M3-A4-BL,"Order code: HDTW-M3-A4-BL; Supports8mm disc spring; steel washer is not credited as current path. No teeth againstPCB.; dimensions/acceptance: {""inner_diameter_mm"": 3.2, ""outer_diameter_mm"": 9, ""thickness_mm"": 1, ""thickness_tolerance_mm"": 0.2}; coupon acceptance in ../rev-a/manufacturing/MECHANICAL_CATALOG_BOM.json; stock unverified.",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_MECH_CATALOG_4,93,93,each,660001,SPIROL,Disc spring DSC8x3.2x0.3BR; three nested same-direction springs per clamp,false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://shop.spirol.com/item/disc-springs/disc-springs-to-din-en-16983/660001,"Order code: 660001; High-carbon steel, phosphate/oil. Nested-stack friction, load spread, coating and copper/FR4 creep require coupon confirmation. Do not equate catalogue nominal312N to measuredforce.; dimensions/acceptance: {""cone_height_mm"": 0.25, ""free_height_mm"": 0.55, ""inner_diameter_mm"": 3.2, ""material_thickness_mm"": 0.3, ""outer_diameter_mm"": 8}; coupon acceptance in ../rev-a/manufacturing/MECHANICAL_CATALOG_BOM.json; stock unverified.",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_MECH_CATALOG_5,1,1,each,IM30-FM-000200,Goodfellow,"KaptonHN polyimide film50um,500x500mm sheet;cut four continuous layers perbar",false,exact_part_selected,Catalog/source evidence; verify exact lifecycle at ordering,https://www.goodfellow-japan.jp/en/product/polyimide-film-IM30-FM-000200.htm,"Order code: 312-663-72; Incoming four-layer stack must be<=0.22mm to maintain contact shim protrusion. This is a stricter assembly acceptance than catalogue nominal; oversizefilm is rejected, not silently compensated by torque. One500mmsheet supplies thecutpieces; no within-bar seams.; dimensions/acceptance: {""nominal_thickness_mm"": 0.05, ""published_thickness_tolerance_percent"": 20, ""sheet_mm"": [500, 500]}; coupon acceptance in ../rev-a/manufacturing/MECHANICAL_CATALOG_BOM.json; stock unverified.",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
BB1,1,1,each,,Fabricate to HomeMy drawing,Custom Cu-ETP underside busbar BB1,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"Geometry, cutouts, contact coordinates and thickness are controlled by the JSON and companion mechanical drawing; no shunt/FET bypass; coupon and first-article acceptance required. {""contact_refs"": [""BC1"", ""BC2""], ""cutouts"": [], ""hole_position_tolerance_mm"": 0.1, ""holes"": [{""diameter_mm"": 3.4, ""function"": ""BC1"", ""x"": 48.0, ""y"": 25.0}, {""diameter_mm"": 3.4, ""function"": ""BC2"", ""x"": 48.0, ""y"": 83.0}], ""insulation"": ""0.20 mm PET/polyimide sheet, no adhesive in contact windows; Cu contact shim OD8/ID3.4/thickness0.25 mm bridges film stand-off; see assembly document"", ""material"": ""Cu-ETP / CW004A, conductivity certificate required"", ""minimum_unperforated_width_mm"": 12, ""mounting_side"": ""B.Cu underside"", ""net"": ""BATT_SENSED_P"", ""outline"": [[42, 19], [54, 19], [54, 91], [42, 91]], ""outline_tolerance_mm"": 0.2, ""ref"": ""BB1"", ""thickness_mm"": 2.0, ""thickness_tolerance_mm"": 0.1}",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
BB2,1,1,each,,Fabricate to HomeMy drawing,Custom Cu-ETP underside busbar BB2,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"Geometry, cutouts, contact coordinates and thickness are controlled by the JSON and companion mechanical drawing; no shunt/FET bypass; coupon and first-article acceptance required. {""contact_refs"": [""BC3"", ""BC4""], ""cutouts"": [], ""hole_position_tolerance_mm"": 0.1, ""holes"": [{""diameter_mm"": 3.4, ""function"": ""BC3"", ""x"": 75.0, ""y"": 31.0}, {""diameter_mm"": 3.4, ""function"": ""BC4"", ""x"": 75.0, ""y"": 79.0}], ""insulation"": ""0.20 mm PET/polyimide sheet, no adhesive in contact windows; Cu contact shim OD8/ID3.4/thickness0.25 mm bridges film stand-off; see assembly document"", ""material"": ""Cu-ETP / CW004A, conductivity certificate required"", ""minimum_unperforated_width_mm"": 10, ""mounting_side"": ""B.Cu underside"", ""net"": ""MAIN_COMMON"", ""outline"": [[70, 19], [80, 19], [80, 91], [70, 91]], ""outline_tolerance_mm"": 0.2, ""ref"": ""BB2"", ""thickness_mm"": 2.0, ""thickness_tolerance_mm"": 0.1}",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
BB3,1,1,each,,Fabricate to HomeMy drawing,Custom Cu-ETP underside busbar BB3,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"Geometry, cutouts, contact coordinates and thickness are controlled by the JSON and companion mechanical drawing; no shunt/FET bypass; coupon and first-article acceptance required. {""contact_refs"": [""BC5"", ""BC6""], ""cutouts"": [], ""hole_position_tolerance_mm"": 0.1, ""holes"": [{""diameter_mm"": 3.4, ""function"": ""BC5"", ""x"": 105.0, ""y"": 30.0}, {""diameter_mm"": 3.4, ""function"": ""BC6"", ""x"": 105.0, ""y"": 60.0}], ""insulation"": ""0.20 mm PET/polyimide sheet, no adhesive in contact windows; Cu contact shim OD8/ID3.4/thickness0.25 mm bridges film stand-off; see assembly document"", ""material"": ""Cu-ETP / CW004A, conductivity certificate required"", ""minimum_unperforated_width_mm"": 12, ""mounting_side"": ""B.Cu underside"", ""net"": ""SYS_BUS_P"", ""outline"": [[99, 19], [111, 19], [111, 79], [99, 79]], ""outline_tolerance_mm"": 0.2, ""ref"": ""BB3"", ""thickness_mm"": 2.0, ""thickness_tolerance_mm"": 0.1}",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
BB4,1,1,each,,Fabricate to HomeMy drawing,Custom Cu-ETP underside busbar BB4,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"Geometry, cutouts, contact coordinates and thickness are controlled by the JSON and companion mechanical drawing; no shunt/FET bypass; coupon and first-article acceptance required. {""contact_refs"": [""BC7"", ""BC8""], ""cutouts"": [], ""hole_position_tolerance_mm"": 0.1, ""holes"": [{""diameter_mm"": 3.4, ""function"": ""BC7"", ""x"": 140.0, ""y"": 30.0}, {""diameter_mm"": 3.4, ""function"": ""BC8"", ""x"": 140.0, ""y"": 70.0}], ""insulation"": ""0.20 mm PET/polyimide sheet, no adhesive in contact windows; Cu contact shim OD8/ID3.4/thickness0.25 mm bridges film stand-off; see assembly document"", ""material"": ""Cu-ETP / CW004A, conductivity certificate required"", ""minimum_unperforated_width_mm"": 12, ""mounting_side"": ""B.Cu underside"", ""net"": ""MOTION_SENSED_P"", ""outline"": [[134, 24], [146, 24], [146, 84], [134, 84]], ""outline_tolerance_mm"": 0.2, ""ref"": ""BB4"", ""thickness_mm"": 2.0, ""thickness_tolerance_mm"": 0.1}",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
BB5,1,1,each,,Fabricate to HomeMy drawing,Custom Cu-ETP underside busbar BB5,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"Geometry, cutouts, contact coordinates and thickness are controlled by the JSON and companion mechanical drawing; no shunt/FET bypass; coupon and first-article acceptance required. {""contact_refs"": [""BC9"", ""BC10""], ""cutouts"": [], ""hole_position_tolerance_mm"": 0.1, ""holes"": [{""diameter_mm"": 3.4, ""function"": ""BC9"", ""x"": 170.0, ""y"": 33.0}, {""diameter_mm"": 3.4, ""function"": ""BC10"", ""x"": 170.0, ""y"": 53.0}], ""insulation"": ""0.20 mm PET/polyimide sheet, no adhesive in contact windows; Cu contact shim OD8/ID3.4/thickness0.25 mm bridges film stand-off; see assembly document"", ""material"": ""Cu-ETP / CW004A, conductivity certificate required"", ""minimum_unperforated_width_mm"": 10, ""mounting_side"": ""B.Cu underside"", ""net"": ""MOTION_COMMON"", ""outline"": [[165, 24], [175, 24], [175, 84], [165, 84]], ""outline_tolerance_mm"": 0.2, ""ref"": ""BB5"", ""thickness_mm"": 2.0, ""thickness_tolerance_mm"": 0.1}",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
BB6,1,1,each,,Fabricate to HomeMy drawing,Custom Cu-ETP underside busbar BB6,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"Geometry, cutouts, contact coordinates and thickness are controlled by the JSON and companion mechanical drawing; no shunt/FET bypass; coupon and first-article acceptance required. {""contact_refs"": [""BC11"", ""BC12"", ""BC13"", ""BC14""], ""cutouts"": [], ""hole_position_tolerance_mm"": 0.1, ""holes"": [{""diameter_mm"": 3.4, ""function"": ""BC11"", ""x"": 200.0, ""y"": 47.0}, {""diameter_mm"": 3.4, ""function"": ""BC12"", ""x"": 200.0, ""y"": 77.0}, {""diameter_mm"": 3.4, ""function"": ""BC13"", ""x"": 222.0, ""y"": 35.0}, {""diameter_mm"": 3.4, ""function"": ""BC14"", ""x"": 252.0, ""y"": 35.0}], ""insulation"": ""0.20 mm PET/polyimide sheet, no adhesive in contact windows; Cu contact shim OD8/ID3.4/thickness0.25 mm bridges film stand-off; see assembly document"", ""material"": ""Cu-ETP / CW004A, conductivity certificate required"", ""minimum_unperforated_width_mm"": 14, ""mounting_side"": ""B.Cu underside"", ""net"": ""MOTION_BUS_P"", ""outline"": [[193, 25.5], [259, 25.5], [259, 41], [207, 41], [207, 92], [193, 92]], ""outline_tolerance_mm"": 0.2, ""ref"": ""BB6"", ""thickness_mm"": 2.0, ""thickness_tolerance_mm"": 0.1}",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
BB7,1,1,each,,Fabricate to HomeMy drawing,Custom Cu-ETP underside busbar BB7,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"Geometry, cutouts, contact coordinates and thickness are controlled by the JSON and companion mechanical drawing; no shunt/FET bypass; coupon and first-article acceptance required. {""contact_refs"": [""BC15"", ""NT1.2"", ""NT2.2"", ""NT3.2"", ""NT4.2"", ""NT5.2"", ""NT6.2"", ""NT7.2"", ""NT8.2""], ""cutouts"": [{""corner_radius_mm"": 1, ""outline"": [[206.25, 132.0], [218.25, 132.0], [218.25, 146], [206.25, 146]], ""reason"": ""NT1.1: downward-open relief offset -0.75mm, 0.45mm tolerance reserve""}, {""corner_radius_mm"": 1, ""outline"": [[236.25, 132.0], [248.25, 132.0], [248.25, 146], [236.25, 146]], ""reason"": ""NT2.1: downward-open relief offset -0.75mm, 0.45mm tolerance reserve""}, {""corner_radius_mm"": 1, ""outline"": [[146.25, 132.0], [158.25, 132.0], [158.25, 146], [146.25, 146]], ""reason"": ""NT3.1: downward-open relief offset -0.75mm, 0.45mm tolerance reserve""}, {""corner_radius_mm"": 1, ""outline"": [[176.25, 132.0], [188.25, 132.0], [188.25, 146], [176.25, 146]], ""reason"": ""NT4.1: downward-open relief offset -0.75mm, 0.45mm tolerance reserve""}, {""corner_radius_mm"": 1, ""outline"": [[14.25, 132.0], [26.25, 132.0], [26.25, 146], [14.25, 146]], ""reason"": ""NT5.1: downward-open relief offset -0.75mm, 0.45mm tolerance reserve""}, {""corner_radius_mm"": 1, ""outline"": [[44.25, 132.0], [56.25, 132.0], [56.25, 146], [44.25, 146]], ""reason"": ""NT6.1: downward-open relief offset -0.75mm, 0.45mm tolerance reserve""}, {""corner_radius_mm"": 1, ""outline"": [[116.25, 132.0], [128.25, 132.0], [128.25, 146], [116.25, 146]], ""reason"": ""NT7.1: downward-open relief offset -0.75mm, 0.45mm tolerance reserve""}, {""corner_radius_mm"": 1, ""outline"": [[74.25, 132.0], [86.25, 132.0], [86.25, 146], [74.25, 146]], ""reason"": ""NT8.1: downward-open relief offset -0.75mm, 0.45mm tolerance reserve""}, {""outline"": [[14, 106], [26, 106], [26, 118], [14, 118]], ""reason"": ""J2 foreign pressfit pins/tool envelope""}], ""hole_position_tolerance_mm"": 0.1, ""holes"": [{""diameter_mm"": 3.4, ""function"": ""BC15"", ""x"": 35.0, ""y"": 122.0}, {""diameter_mm"": 3.4, ""function"": ""NT1.2"", ""x"": 223.0, ""y"": 138.0}, {""diameter_mm"": 3.4, ""function"": ""NT2.2"", ""x"": 253.0, ""y"": 138.0}, {""diameter_mm"": 3.4, ""function"": ""NT3.2"", ""x"": 163.0, ""y"": 138.0}, {""diameter_mm"": 3.4, ""function"": ""NT4.2"", ""x"": 193.0, ""y"": 138.0}, {""diameter_mm"": 3.4, ""function"": ""NT5.2"", ""x"": 31.0, ""y"": 138.0}, {""diameter_mm"": 3.4, ""function"": ""NT6.2"", ""x"": 61.0, ""y"": 138.0}, {""diameter_mm"": 3.4, ""function"": ""NT7.2"", ""x"": 133.0, ""y"": 138.0}, {""diameter_mm"": 3.4, ""function"": ""NT8.2"", ""x"": 91.0, ""y"": 138.0}], ""insulation"": ""0.20 mm PET/polyimide sheet, no adhesive in contact windows; Cu contact shim OD8/ID3.4/thickness0.25 mm bridges film stand-off; see assembly document"", ""material"": ""Cu-ETP / CW004A, conductivity certificate required"", ""minimum_unperforated_width_mm"": 17, ""mounting_side"": ""B.Cu underside"", ""net"": ""BATT_N"", ""outline"": [[25.5, 115], [259, 115], [259, 145], [25.5, 145]], ""outline_tolerance_mm"": 0.2, ""ref"": ""BB7"", ""thickness_mm"": 2.0, ""thickness_tolerance_mm"": 0.1}",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
NB1..NB8,8,8,each,,Fabricate to HomeMy drawing,Custom Cu-ETP20x10x2mm top star bridges,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,../rev-a/manufacturing/MECHANICAL_BUILD.md,"Two3.4mm holes at10mm centers; one perNT; drawing and coupon acceptance required.; Current A2 positions, orientations and cutouts: manufacturing/busbar-pcb-interface.json. Original RevA mechanical instructions provide material and stack semantics only; their board dimensions and positions do not apply.",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_CONTACT_SHIMS,23,23,each,,Fabricate to HomeMy drawing,Custom Cu-ETP contact shim8mmOD/3.4mmID/0.25mm thickness,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"{""inner_diameter_mm"": 3.4, ""location"": ""All15 BC underside contacts and8 NT*.2 underside contacts; mandatory to clear0.20mm insulation sheet"", ""material"": ""Cu-ETP"", ""outer_diameter_mm"": 8, ""quantity"": 23, ""thickness_mm"": 0.25, ""thickness_tolerance_mm"": 0.02}",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_BRANCH_BACKING_WASHERS,8,8,each,,Fabricate to HomeMy drawing,Custom separate Cu branch backing washers8mmOD/3.4mmID/1mm thickness,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,../rev-a/manufacturing/MECHANICAL_BUILD.md,"One perNT*.1 inBB7cutouts; must remain electrically separate fromBB7.; Current A2 positions, orientations and cutouts: manufacturing/busbar-pcb-interface.json. Original RevA mechanical instructions provide material and stack semantics only; their board dimensions and positions do not apply.",selected_or_drawing_controlled,false,,,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_LUG_BATT,2,2,each,,,M5 ring lug for6mm2 battery cable,false,manufacturer_part_not_selected,Not applicable until manufacturer part selected,../rev-a/design/CHOPPER_MECHANICS.md,Exact lug insulation/material/crimp system unselected; tightening<=2.2Nm and cable restraint required.,before_energization,false,M5 horizontal faces on installed Wurth 7461103 at J1/J2; 6 mm2 battery conductors.,"Select compatible lug, conductor and crimp tool; verify thread engagement, cable clearance, resistance and torque no greater than 2.2 Nm.",false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_LUG_ARMS,4,4,each,,,M5 ring lug for4mm2 arm cable,false,manufacturer_part_not_selected,Not applicable until manufacturer part selected,../rev-a/design/CHOPPER_MECHANICS.md,"Exact lug/crimp tooling unselected;25A per-arm planning envelope, temperature validation required.",before_energization,false,M5 horizontal faces at J3-J6; 4 mm2 arm conductors.,"Select compatible lugs and crimp system; keep separate ARM_L_N/ARM_R_N returns; verify fit, restraint and current/temperature envelope.",false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_CABLES,1,1,lot,,,"Harness cable, ferrules and strain-relief materials",false,harness_cut_list_unreleased,Not applicable until manufacturer part selected,../rev-a/design/CHOPPER_MECHANICS.md,Lengths and insulation grades unselected. Battery6mm2;arms4mm2;drive/chopper1.5mm2;lift/5V1mm2;PC0.75mm2;NTC0.25mm2. Chopper pair neither terminal isground.,before_energization,false,"Use the already selected PCB headers and their specified mating plugs. Harness, ferrules and restraints are external; no PCB holes or connector changes.","Release cable lengths, wire grades, pin-to-pin list, coding, polarity and crimp/terminal acceptance; resolve branch-specific cross-sections against design loads and routing.",false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_COVERS,1,1,lot,,,Insulated live-bus covers and mechanical restraint,false,mechanical_drawing_unreleased,Not applicable until manufacturer part selected,../rev-a/design/CHOPPER_MECHANICS.md,No dimensions/ordercode released. Independent mechanical support;>=15mmclearance belowPCB forbar/clamp stack;>=25mm screwdriver/lug access. See ../rev-a/manufacturing/MECHANICAL_BUILD.md.,before_energization,false,Independent enclosure-mounted insulating support and guards; use the existing four PCB mounting holes. At least 15 mm below PCB and planned 25 mm axial M5 tool access; preserve antenna keepout.,"Dimension external guards/support to the fixed PCB and busbars, inspect live-part coverage, clearances and cable-force restraint before power.",false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_BUTTON,1,1,each,,,Normally-open momentary power button and harness,false,manufacturer_part_not_selected,Not applicable until manufacturer part selected,../rev-a/design/WAKE_IO.md,Dry contact toJ20; noexternal voltage; exactswitch andmatingharness unselected.,before_energization,false,Normally-open dry contact via existing J20 connector and matching cable; inject no external voltage.,"Select switch/mating harness, confirm pinout and power-button/rearm behavior with a current-limited motorless fixture.",false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_PERMISSION,1,1,each,,,Deenergized-open motion permission relay/contact and harness,false,commissioning_interface_unreleased,Not applicable until manufacturer part selected,../rev-a/design/WAKE_IO.md,J22 loop3.3V only; no24V injection orpermanent actuator-test jumper. Final emergency-stop design unaccepted.,before_energization,false,Existing J22 3.3 V permission loop; deenergized contact must be open. No 24 V injection or permanent bypass jumper.,Select and accept external emergency-stop/permission circuit and harness; verify open/unpowered fault forces Motion OFF before actuator enable.,false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_FUSE,1,1,each,,,External60A fuse and holder,false,manufacturer_part_not_selected,Not applicable until manufacturer part selected,../rev-a/design/POWER_STAGE.md,Exact fuse family/interrupt rating/time-current curve andholder unselected; must close beforebattery attachment.,before_energization,false,External 60 A battery fuse and holder upstream of J1; neither mounts on the PCB.,"Select exact DC-rated fuse/holder, interruption rating and time-current curve for the pack/wiring; verify before battery attachment.",false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
EXT_CONVERTERS,1,1,set,,,"External PC,5V andlift converters",false,external_system_parts_not_selected,Not applicable until manufacturer part selected,../rev-a/design/POWER_STAGE.md,Actual converters and inputcapacitance/transient ratings unselected; not included inon-board eFuse ordercodes.,before_energization,false,"External PC input at J9, logic converter input at J10 and regulated 5 V return at J11; lift input at J8. Use fixed Phoenix headers/mates. No converter module footprint exists on this PCB.","Select actual modules, including China-sourced modules if desired; verify wiring, 27.5-42 V operating input, transients, input capacitance/inrush, 5 V output and isolation/return behavior against POWER_STAGE and bring-up limits before connecting them.",false,unverified_at_build,DRAFT_NOT_RELEASED_A2_280x260
