references,quantity_positions,quantity_required,unit,mpn,manufacturer,description,dnp,selection_status,lifecycle,source_url,constraints,supplier_stock_verified,stock_status,state
BB7,1,1,each,,Fabricate to HomeMy drawing,Custom Cu-ETP underside busbar BB7,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"Geometry, cutouts, contact coordinates and thickness are controlled by the JSON and companion mechanical drawing; no shunt/FET bypass; coupon and first-article acceptance required. {""contact_refs"": [""BC15"", ""NT1.2"", ""NT2.2"", ""NT3.2"", ""NT4.2"", ""NT5.2"", ""NT6.2"", ""NT7.2"", ""NT8.2""], ""cutouts"": [{""corner_radius_mm"": 1, ""outline"": [[9.0, 109.0], [21.0, 109.0], [21.0, 121.0], [9.0, 121.0]], ""reason"": ""J2 pressfit tails; never clamp on pin ends""}, {""corner_radius_mm"": 1, ""outline"": [[214.0, 109.0], [226.0, 109.0], [226.0, 121.0], [214.0, 121.0]], ""reason"": ""J4 pressfit tails; never clamp on pin ends""}, {""corner_radius_mm"": 1, ""outline"": [[244.0, 109.0], [256.0, 109.0], [256.0, 121.0], [244.0, 121.0]], ""reason"": ""J6 pressfit tails; never clamp on pin ends""}, {""corner_radius_mm"": 1, ""outline"": [[194.0, 121.0], [206.0, 121.0], [206.0, 133.0], [194.0, 133.0]], ""reason"": ""NT1.1 branch washer/nut isolated from BB7; bridge only on top""}, {""corner_radius_mm"": 1, ""outline"": [[224.0, 121.0], [236.0, 121.0], [236.0, 133.0], [224.0, 133.0]], ""reason"": ""NT2.1 branch washer/nut isolated from BB7; bridge only on top""}, {""corner_radius_mm"": 1, ""outline"": [[274.0, 116.0], [286.0, 116.0], [286.0, 128.0], [274.0, 128.0]], ""reason"": ""NT3.1 branch washer/nut isolated from BB7; bridge only on top""}, {""corner_radius_mm"": 1, ""outline"": [[304.0, 116.0], [316.0, 116.0], [316.0, 128.0], [304.0, 128.0]], ""reason"": ""NT4.1 branch washer/nut isolated from BB7; bridge only on top""}, {""corner_radius_mm"": 1, ""outline"": [[24.0, 116.0], [36.0, 116.0], [36.0, 128.0], [24.0, 128.0]], ""reason"": ""NT5.1 branch washer/nut isolated from BB7; bridge only on top""}, {""corner_radius_mm"": 1, ""outline"": [[54.0, 116.0], [66.0, 116.0], [66.0, 128.0], [54.0, 128.0]], ""reason"": ""NT6.1 branch washer/nut isolated from BB7; bridge only on top""}, {""corner_radius_mm"": 1, ""outline"": [[334.0, 116.0], [346.0, 116.0], [346.0, 128.0], [334.0, 128.0]], ""reason"": ""NT7.1 branch washer/nut isolated from BB7; bridge only on top""}, {""corner_radius_mm"": 1, ""outline"": [[84.0, 116.0], [96.0, 116.0], [96.0, 128.0], [84.0, 128.0]], ""reason"": ""NT8.1 branch washer/nut isolated from BB7; bridge only on top""}], ""hole_position_tolerance_mm"": 0.1, ""holes"": [{""diameter_mm"": 3.4, ""function"": ""BC15"", ""x"": 27, ""y"": 110}, {""diameter_mm"": 3.4, ""function"": ""NT1.2"", ""x"": 210.0, ""y"": 127.0}, {""diameter_mm"": 3.4, ""function"": ""NT2.2"", ""x"": 240.0, ""y"": 127.0}, {""diameter_mm"": 3.4, ""function"": ""NT3.2"", ""x"": 290.0, ""y"": 122.0}, {""diameter_mm"": 3.4, ""function"": ""NT4.2"", ""x"": 320.0, ""y"": 122.0}, {""diameter_mm"": 3.4, ""function"": ""NT5.2"", ""x"": 40.0, ""y"": 122.0}, {""diameter_mm"": 3.4, ""function"": ""NT6.2"", ""x"": 70.0, ""y"": 122.0}, {""diameter_mm"": 3.4, ""function"": ""NT7.2"", ""x"": 350.0, ""y"": 122.0}, {""diameter_mm"": 3.4, ""function"": ""NT8.2"", ""x"": 100.0, ""y"": 122.0}], ""insulation"": ""0.20 mm PET/polyimide sheet, no adhesive in contact windows; Cu contact shim OD8/ID3.4/thickness0.25 mm bridges film stand-off; see assembly document"", ""material"": ""Cu-ETP / CW004A, conductivity certificate required"", ""minimum_unperforated_width_mm"": 16, ""mounting_side"": ""B.Cu underside"", ""net"": ""BATT_N"", ""outline"": [[8, 105], [356, 105], [356, 136], [8, 136]], ""outline_tolerance_mm"": 0.2, ""ref"": ""BB7"", ""thickness_mm"": 2.0, ""thickness_tolerance_mm"": 0.1}",false,unverified_at_build,engineering_review_not_order_release
NB1..NB8,8,8,each,,Fabricate to HomeMy drawing,Custom Cu-ETP20x10x2mm top star bridges,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/MECHANICAL_BUILD.md,Two3.4mm holes at10mm centers; one perNT; drawing and coupon acceptance required.,false,unverified_at_build,engineering_review_not_order_release
EXT_CONTACT_SHIMS,23,23,each,,Fabricate to HomeMy drawing,Custom Cu-ETP contact shim8mmOD/3.4mmID/0.25mm thickness,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/busbar-pcb-interface.json,"{""inner_diameter_mm"": 3.4, ""location"": ""All15 BC underside contacts and8 NT*.2 underside contacts; mandatory to clear0.20mm insulation sheet"", ""material"": ""Cu-ETP"", ""outer_diameter_mm"": 8, ""quantity"": 23, ""thickness_mm"": 0.25, ""thickness_tolerance_mm"": 0.02}",false,unverified_at_build,engineering_review_not_order_release
EXT_BRANCH_BACKING_WASHERS,8,8,each,,Fabricate to HomeMy drawing,Custom separate Cu branch backing washers8mmOD/3.4mmID/1mm thickness,false,custom_manufactured_to_project_drawing,Custom part controlled by HomeMy mechanical drawing; catalogue lifecycle not applicable,manufacturing/MECHANICAL_BUILD.md,One perNT*.1 inBB7cutouts; must remain electrically separate fromBB7.,false,unverified_at_build,engineering_review_not_order_release
EXT_LUG_BATT,2,2,each,,,M5 ring lug for6mm2 battery cable,false,manufacturer_part_not_selected,Not applicable until manufacturer part selected,design/CHOPPER_MECHANICS.md,Exact lug insulation/material/crimp system unselected; tightening<=2.2Nm and cable restraint required.,false,unverified_at_build,engineering_review_not_order_release
EXT_LUG_ARMS,4,4,each,,,M5 ring lug for4mm2 arm cable,false,manufacturer_part_not_selected,Not applicable until manufacturer part selected,design/CHOPPER_MECHANICS.md,"Exact lug/crimp tooling unselected;25A per-arm planning envelope, temperature validation required.",false,unverified_at_build,engineering_review_not_order_release
EXT_CABLES,1,1,lot,,,"Harness cable, ferrules and strain-relief materials",false,harness_cut_list_unreleased,Not applicable until manufacturer part selected,design/CHOPPER_MECHANICS.md,Lengths and insulation grades unselected. Battery6mm2;arms4mm2;drive/chopper1.5mm2;lift/5V1mm2;PC0.75mm2;NTC0.25mm2. Chopper pair neither terminal isground.,false,unverified_at_build,engineering_review_not_order_release
EXT_COVERS,1,1,lot,,,Insulated live-bus covers and mechanical restraint,false,mechanical_drawing_unreleased,Not applicable until manufacturer part selected,design/CHOPPER_MECHANICS.md,No dimensions/ordercode released. Independent mechanical support;>=15mmclearance belowPCB forbar/clamp stack;>=25mm screwdriver/lug access. See manufacturing/MECHANICAL_BUILD.md.,false,unverified_at_build,engineering_review_not_order_release
EXT_BUTTON,1,1,each,,,Normally-open momentary power button and harness,false,manufacturer_part_not_selected,Not applicable until manufacturer part selected,design/WAKE_IO.md,Dry contact toJ20; noexternal voltage; exactswitch andmatingharness unselected.,false,unverified_at_build,engineering_review_not_order_release
EXT_PERMISSION,1,1,each,,,Deenergized-open motion permission relay/contact and harness,false,commissioning_interface_unreleased,Not applicable until manufacturer part selected,design/WAKE_IO.md,J22 loop3.3V only; no24V injection orpermanent actuator-test jumper. Final emergency-stop design unaccepted.,false,unverified_at_build,engineering_review_not_order_release
EXT_FUSE,1,1,each,,,External60A fuse and holder,false,manufacturer_part_not_selected,Not applicable until manufacturer part selected,design/POWER_STAGE.md,Exact fuse family/interrupt rating/time-current curve andholder unselected; must close beforebattery attachment.,false,unverified_at_build,engineering_review_not_order_release
EXT_CONVERTERS,1,1,set,,,"External PC,5V andlift converters",false,external_system_parts_not_selected,Not applicable until manufacturer part selected,design/POWER_STAGE.md,Actual converters and inputcapacitance/transient ratings unselected; not included inon-board eFuse ordercodes.,false,unverified_at_build,engineering_review_not_order_release
